Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.260109908
75% Corpus,2,0.01,0.31,0.243458667
75% Corpus,2,0.01,0.61,0.25794505
75% Corpus,2,0.01,0.91,0.278261765
75% Corpus,2,0.01,symmetric,0.258270131
75% Corpus,2,0.31,0.01,0.253462941
75% Corpus,2,0.31,0.31,0.244998118
75% Corpus,2,0.31,0.61,0.25536178
75% Corpus,2,0.31,0.91,0.239509077
75% Corpus,2,0.31,symmetric,0.259587437
75% Corpus,2,0.61,0.01,0.243302008
75% Corpus,2,0.61,0.31,0.24702794
75% Corpus,2,0.61,0.61,0.252804353
75% Corpus,2,0.61,0.91,0.273326965
75% Corpus,2,0.61,symmetric,0.254173325
75% Corpus,2,0.91,0.01,0.243938181
75% Corpus,2,0.91,0.31,0.253648576
75% Corpus,2,0.91,0.61,0.245566019
75% Corpus,2,0.91,0.91,0.243977734
75% Corpus,2,0.91,symmetric,0.238913335
75% Corpus,2,symmetric,0.01,0.253629874
75% Corpus,2,symmetric,0.31,0.269880306
75% Corpus,2,symmetric,0.61,0.257625377
75% Corpus,2,symmetric,0.91,0.242312627
75% Corpus,2,symmetric,symmetric,0.246912192
75% Corpus,2,asymmetric,0.01,0.250173218
75% Corpus,2,asymmetric,0.31,0.245472271
75% Corpus,2,asymmetric,0.61,0.269286321
75% Corpus,2,asymmetric,0.91,0.24366581
75% Corpus,2,asymmetric,symmetric,0.254662823
75% Corpus,3,0.01,0.01,0.262200145
75% Corpus,3,0.01,0.31,0.286731632
75% Corpus,3,0.01,0.61,0.269427475
75% Corpus,3,0.01,0.91,0.262423204
75% Corpus,3,0.01,symmetric,0.264119273
75% Corpus,3,0.31,0.01,0.249969236
75% Corpus,3,0.31,0.31,0.244445415
75% Corpus,3,0.31,0.61,0.259673159
75% Corpus,3,0.31,0.91,0.246078141
75% Corpus,3,0.31,symmetric,0.247497987
75% Corpus,3,0.61,0.01,0.274229461
75% Corpus,3,0.61,0.31,0.248917246
75% Corpus,3,0.61,0.61,0.255040833
75% Corpus,3,0.61,0.91,0.258748709
75% Corpus,3,0.61,symmetric,0.248274002
75% Corpus,3,0.91,0.01,0.261436333
75% Corpus,3,0.91,0.31,0.255659922
75% Corpus,3,0.91,0.61,0.255467367
75% Corpus,3,0.91,0.91,0.262903863
75% Corpus,3,0.91,symmetric,0.254350598
75% Corpus,3,symmetric,0.01,0.24683873
75% Corpus,3,symmetric,0.31,0.258828786
75% Corpus,3,symmetric,0.61,0.269998293
75% Corpus,3,symmetric,0.91,0.278829897
75% Corpus,3,symmetric,symmetric,0.253856399
75% Corpus,3,asymmetric,0.01,0.260645481
75% Corpus,3,asymmetric,0.31,0.253074148
75% Corpus,3,asymmetric,0.61,0.266207528
75% Corpus,3,asymmetric,0.91,0.251512497
75% Corpus,3,asymmetric,symmetric,0.259419374
75% Corpus,4,0.01,0.01,0.259971046
75% Corpus,4,0.01,0.31,0.27352972
75% Corpus,4,0.01,0.61,0.268303645
75% Corpus,4,0.01,0.91,0.249947505
75% Corpus,4,0.01,symmetric,0.267784412
75% Corpus,4,0.31,0.01,0.251455509
75% Corpus,4,0.31,0.31,0.256390998
75% Corpus,4,0.31,0.61,0.271505063
75% Corpus,4,0.31,0.91,0.274646609
75% Corpus,4,0.31,symmetric,0.264852431
75% Corpus,4,0.61,0.01,0.250228996
75% Corpus,4,0.61,0.31,0.256033396
75% Corpus,4,0.61,0.61,0.264347412
75% Corpus,4,0.61,0.91,0.262869957
75% Corpus,4,0.61,symmetric,0.260704815
75% Corpus,4,0.91,0.01,0.280322385
75% Corpus,4,0.91,0.31,0.251008727
75% Corpus,4,0.91,0.61,0.246799061
75% Corpus,4,0.91,0.91,0.246474211
75% Corpus,4,0.91,symmetric,0.267918771
75% Corpus,4,symmetric,0.01,0.260784901
75% Corpus,4,symmetric,0.31,0.256720437
75% Corpus,4,symmetric,0.61,0.253141366
75% Corpus,4,symmetric,0.91,0.257804188
75% Corpus,4,symmetric,symmetric,0.255864365
75% Corpus,4,asymmetric,0.01,0.256306799
75% Corpus,4,asymmetric,0.31,0.272160349
75% Corpus,4,asymmetric,0.61,0.251561778
75% Corpus,4,asymmetric,0.91,0.278250128
75% Corpus,4,asymmetric,symmetric,0.256235701
75% Corpus,5,0.01,0.01,0.248123255
75% Corpus,5,0.01,0.31,0.25649353
75% Corpus,5,0.01,0.61,0.252110828
75% Corpus,5,0.01,0.91,0.250271442
75% Corpus,5,0.01,symmetric,0.257955142
75% Corpus,5,0.31,0.01,0.254554041
75% Corpus,5,0.31,0.31,0.276923156
75% Corpus,5,0.31,0.61,0.259741433
75% Corpus,5,0.31,0.91,0.256816019
75% Corpus,5,0.31,symmetric,0.270264204
75% Corpus,5,0.61,0.01,0.258501459
75% Corpus,5,0.61,0.31,0.255548832
75% Corpus,5,0.61,0.61,0.271015017
75% Corpus,5,0.61,0.91,0.254635124
75% Corpus,5,0.61,symmetric,0.261716472
75% Corpus,5,0.91,0.01,0.261998889
75% Corpus,5,0.91,0.31,0.254579676
75% Corpus,5,0.91,0.61,0.251185582
75% Corpus,5,0.91,0.91,0.263467583
75% Corpus,5,0.91,symmetric,0.256448883
75% Corpus,5,symmetric,0.01,0.261634668
75% Corpus,5,symmetric,0.31,0.280744655
75% Corpus,5,symmetric,0.61,0.286953476
75% Corpus,5,symmetric,0.91,0.266894748
75% Corpus,5,symmetric,symmetric,0.260954629
75% Corpus,5,asymmetric,0.01,0.265315424
75% Corpus,5,asymmetric,0.31,0.263222576
75% Corpus,5,asymmetric,0.61,0.253676718
75% Corpus,5,asymmetric,0.91,0.275907847
75% Corpus,5,asymmetric,symmetric,0.271578105
75% Corpus,6,0.01,0.01,0.266563358
75% Corpus,6,0.01,0.31,0.258906538
75% Corpus,6,0.01,0.61,0.2812806
75% Corpus,6,0.01,0.91,0.279957147
75% Corpus,6,0.01,symmetric,0.264993138
75% Corpus,6,0.31,0.01,0.26630755
75% Corpus,6,0.31,0.31,0.267117054
75% Corpus,6,0.31,0.61,0.267769575
75% Corpus,6,0.31,0.91,0.27182981
75% Corpus,6,0.31,symmetric,0.286656609
75% Corpus,6,0.61,0.01,0.251378566
75% Corpus,6,0.61,0.31,0.256529486
75% Corpus,6,0.61,0.61,0.252876062
75% Corpus,6,0.61,0.91,0.269151563
75% Corpus,6,0.61,symmetric,0.268832884
75% Corpus,6,0.91,0.01,0.274585751
75% Corpus,6,0.91,0.31,0.273166537
75% Corpus,6,0.91,0.61,0.252186866
75% Corpus,6,0.91,0.91,0.267799699
75% Corpus,6,0.91,symmetric,0.26113318
75% Corpus,6,symmetric,0.01,0.255336689
75% Corpus,6,symmetric,0.31,0.268078961
75% Corpus,6,symmetric,0.61,0.267624912
75% Corpus,6,symmetric,0.91,0.288475577
75% Corpus,6,symmetric,symmetric,0.26990358
75% Corpus,6,asymmetric,0.01,0.258427695
75% Corpus,6,asymmetric,0.31,0.265449712
75% Corpus,6,asymmetric,0.61,0.269170254
75% Corpus,6,asymmetric,0.91,0.264309371
75% Corpus,6,asymmetric,symmetric,0.258134313
75% Corpus,7,0.01,0.01,0.260311575
75% Corpus,7,0.01,0.31,0.27639608
75% Corpus,7,0.01,0.61,0.279193019
75% Corpus,7,0.01,0.91,0.27591313
75% Corpus,7,0.01,symmetric,0.268406948
75% Corpus,7,0.31,0.01,0.259403687
75% Corpus,7,0.31,0.31,0.266921461
75% Corpus,7,0.31,0.61,0.253765889
75% Corpus,7,0.31,0.91,0.270042242
75% Corpus,7,0.31,symmetric,0.279454434
75% Corpus,7,0.61,0.01,0.271201413
75% Corpus,7,0.61,0.31,0.258616536
75% Corpus,7,0.61,0.61,0.260500228
75% Corpus,7,0.61,0.91,0.259785164
75% Corpus,7,0.61,symmetric,0.251574422
75% Corpus,7,0.91,0.01,0.261624115
75% Corpus,7,0.91,0.31,0.261009461
75% Corpus,7,0.91,0.61,0.284001622
75% Corpus,7,0.91,0.91,0.244837559
75% Corpus,7,0.91,symmetric,0.256894671
75% Corpus,7,symmetric,0.01,0.287812201
75% Corpus,7,symmetric,0.31,0.270483724
75% Corpus,7,symmetric,0.61,0.273930956
75% Corpus,7,symmetric,0.91,0.254622095
75% Corpus,7,symmetric,symmetric,0.264765246
75% Corpus,7,asymmetric,0.01,0.277294813
75% Corpus,7,asymmetric,0.31,0.265890422
75% Corpus,7,asymmetric,0.61,0.257165057
75% Corpus,7,asymmetric,0.91,0.254334344
75% Corpus,7,asymmetric,symmetric,0.267054418
75% Corpus,8,0.01,0.01,0.266412727
75% Corpus,8,0.01,0.31,0.258777587
75% Corpus,8,0.01,0.61,0.261680455
75% Corpus,8,0.01,0.91,0.264737347
75% Corpus,8,0.01,symmetric,0.260798512
75% Corpus,8,0.31,0.01,0.261780938
75% Corpus,8,0.31,0.31,0.271596933
75% Corpus,8,0.31,0.61,0.272535613
75% Corpus,8,0.31,0.91,0.279025833
75% Corpus,8,0.31,symmetric,0.261817489
75% Corpus,8,0.61,0.01,0.258757547
75% Corpus,8,0.61,0.31,0.252762063
75% Corpus,8,0.61,0.61,0.255807413
75% Corpus,8,0.61,0.91,0.269129258
75% Corpus,8,0.61,symmetric,0.263834242
75% Corpus,8,0.91,0.01,0.259689311
75% Corpus,8,0.91,0.31,0.257157816
75% Corpus,8,0.91,0.61,0.257599312
75% Corpus,8,0.91,0.91,0.254027044
75% Corpus,8,0.91,symmetric,0.26071567
75% Corpus,8,symmetric,0.01,0.264066047
75% Corpus,8,symmetric,0.31,0.273435804
75% Corpus,8,symmetric,0.61,0.286249422
75% Corpus,8,symmetric,0.91,0.275098921
75% Corpus,8,symmetric,symmetric,0.27994444
75% Corpus,8,asymmetric,0.01,0.282670411
75% Corpus,8,asymmetric,0.31,0.261107762
75% Corpus,8,asymmetric,0.61,0.269272967
75% Corpus,8,asymmetric,0.91,0.273846037
75% Corpus,8,asymmetric,symmetric,0.26429154
75% Corpus,9,0.01,0.01,0.269202393
75% Corpus,9,0.01,0.31,0.274238046
75% Corpus,9,0.01,0.61,0.276626792
75% Corpus,9,0.01,0.91,0.266270683
75% Corpus,9,0.01,symmetric,0.2775666
75% Corpus,9,0.31,0.01,0.264634354
75% Corpus,9,0.31,0.31,0.266142074
75% Corpus,9,0.31,0.61,0.270195788
75% Corpus,9,0.31,0.91,0.270512248
75% Corpus,9,0.31,symmetric,0.256600841
75% Corpus,9,0.61,0.01,0.271609205
75% Corpus,9,0.61,0.31,0.266650852
75% Corpus,9,0.61,0.61,0.260128555
75% Corpus,9,0.61,0.91,0.254598463
75% Corpus,9,0.61,symmetric,0.266557993
75% Corpus,9,0.91,0.01,0.256363568
75% Corpus,9,0.91,0.31,0.254803583
75% Corpus,9,0.91,0.61,0.252098539
75% Corpus,9,0.91,0.91,0.266982428
75% Corpus,9,0.91,symmetric,0.258726331
75% Corpus,9,symmetric,0.01,0.258328142
75% Corpus,9,symmetric,0.31,0.278160499
75% Corpus,9,symmetric,0.61,0.277057629
75% Corpus,9,symmetric,0.91,0.269273012
75% Corpus,9,symmetric,symmetric,0.254985738
75% Corpus,9,asymmetric,0.01,0.28373583
75% Corpus,9,asymmetric,0.31,0.272844609
75% Corpus,9,asymmetric,0.61,0.259649792
75% Corpus,9,asymmetric,0.91,0.281026401
75% Corpus,9,asymmetric,symmetric,0.27827359
75% Corpus,10,0.01,0.01,0.277158554
75% Corpus,10,0.01,0.31,0.305289959
75% Corpus,10,0.01,0.61,0.27191125
75% Corpus,10,0.01,0.91,0.265690074
75% Corpus,10,0.01,symmetric,0.269676067
75% Corpus,10,0.31,0.01,0.270590736
75% Corpus,10,0.31,0.31,0.269343114
75% Corpus,10,0.31,0.61,0.267143792
75% Corpus,10,0.31,0.91,0.268636855
75% Corpus,10,0.31,symmetric,0.259946828
75% Corpus,10,0.61,0.01,0.262450149
75% Corpus,10,0.61,0.31,0.270895103
75% Corpus,10,0.61,0.61,0.265734297
75% Corpus,10,0.61,0.91,0.265874753
75% Corpus,10,0.61,symmetric,0.267737687
75% Corpus,10,0.91,0.01,0.257619328
75% Corpus,10,0.91,0.31,0.256366724
75% Corpus,10,0.91,0.61,0.273585138
75% Corpus,10,0.91,0.91,0.26316037
75% Corpus,10,0.91,symmetric,0.264929484
75% Corpus,10,symmetric,0.01,0.277597089
75% Corpus,10,symmetric,0.31,0.27379676
75% Corpus,10,symmetric,0.61,0.263325323
75% Corpus,10,symmetric,0.91,0.27759609
75% Corpus,10,symmetric,symmetric,0.286079549
75% Corpus,10,asymmetric,0.01,0.272638068
75% Corpus,10,asymmetric,0.31,0.266887481
75% Corpus,10,asymmetric,0.61,0.280328331
75% Corpus,10,asymmetric,0.91,0.276974142
75% Corpus,10,asymmetric,symmetric,0.27383713
75% Corpus,11,0.01,0.01,0.297875835
75% Corpus,11,0.01,0.31,0.280470595
75% Corpus,11,0.01,0.61,0.277754714
75% Corpus,11,0.01,0.91,0.267648287
75% Corpus,11,0.01,symmetric,0.279425153
75% Corpus,11,0.31,0.01,0.260511663
75% Corpus,11,0.31,0.31,0.271580386
75% Corpus,11,0.31,0.61,0.268231771
75% Corpus,11,0.31,0.91,0.270680997
75% Corpus,11,0.31,symmetric,0.266716423
75% Corpus,11,0.61,0.01,0.260958432
75% Corpus,11,0.61,0.31,0.266810109
75% Corpus,11,0.61,0.61,0.265893507
75% Corpus,11,0.61,0.91,0.261887523
75% Corpus,11,0.61,symmetric,0.269440034
75% Corpus,11,0.91,0.01,0.257009117
